frame ID,frame name,source,destination,format,send method,periods,startbit,length,signal name,offset,factor,unit,minimum,maximum,phy min,phy max,value type,init value,note
,,,,,,,40,8,TempCh6_back,0,1,,0,255,0,255,Unsigned,0,
,,,,,,,48,8,TempCh7_back,0,1,,0,255,0,255,Unsigned,0,
0x1F,Replayer_msg7,Replayer,/,Intel,触发后500ms,/,0,8,VolCh1_offset_back_mv,0,1,,-128,127,-128,127,Signed,0,电压通道1偏移设置
,,,,,,,8,8,VolCh2_offset_back_mv,0,1,,-128,127,-128,127,Signed,0,电压通道2偏移设置
,,,,,,,16,8,VolCh3_offset_back_mv,0,1,,-128,127,-128,127,Signed,0,电压通道3偏移设置
,,,,,,,24,8,VolCh4_offset_back_mv,0,1,,-128,127,-128,127,Signed,0,电压通道4偏移设置
,,,,,,,32,8,VolCh5_offset_back_mv,0,1,,-128,127,-128,127,Signed,0,电压通道5偏移设置
,,,,,,,40,8,VolCh6_offset_back_mv,0,1,,-128,127,-128,127,Signed,0,电压通道6偏移设置
,,,,,,,48,8,VolCh7_offset_back_mv,0,1,,-128,127,-128,127,Signed,0,电压通道7偏移设置
,,,,,,,56,8,VolCh8_offset_back_mv,0,1,,-128,127,-128,127,Signed,0,电压通道8偏移设置
0x20,Replayer_msg8,Replayer,/,Intel,触发后500ms,/,0,8,VolCh9_offset_back_mv,0,1,,-128,127,-128,127,Signed,0,电压通道9偏移设置
,,,,,,,8,8,VolCh10_offset_back_mv,0,1,,-128,127,-128,127,Signed,0,电压通道10偏移设置
,,,,,,,16,8,VolCh11_offset_back_mv,0,1,,-128,127,-128,127,Signed,0,电压通道11偏移设置
,,,,,,,24,8,VolCh12_offset_back_mv,0,1,,-128,127,-128,127,Signed,0,电压通道12偏移设置
,,,,,,,32,8,VolCh13_offset_back_mv,0,1,,-128,127,-128,127,Signed,0,电压通道13偏移设置
0x21,Replayer_msg9,Replayer,/,Intel,500ms,/,0,8,VolWave_back,0,1,,0,255,0,255,Unsigned,0,"电压波形设置；
0-正弦波形；
1-方波波形；"
,,,,,,,8,8,EmergencyStop back,0,1,,0,255,0,255,Unsigned,0,"急停状态反馈；
0-不停止，1-停止"
,,,,,,,16,16,Replayer_ErrCode,0,1,,0,65535,0,65535,Unsigned,0,回放器故障码
,,,,,,,32,16,Replayer_StatusCode,0,1,,0,65535,0,65535,Unsigned,0,回放器状态码
,,,,,,,48,16,Replayer_StatusCode,0,1,,0,65535,0,65535,Unsigned,0,回放器状态码
